name,coordinates,route_id
Manuel Albán,"[
[-78.49022269248962, -0.21640547321068118],
[-78.48731517791748, -0.21710820694378402]
]",12
Atanasio Oleas,"[
[-78.49034607410431, -0.21685071672475262],
[-78.4871220588684, -0.21759636547198868]
]",12
Jose Tobar,"[
[-78.49042654037476, -0.2171028425642678],
[-78.4891551733017, -0.21741397657319458],
[-78.48916053771973, -0.2175427216784547],
[-78.48750829696655, -0.2179504145045522]
]",12
Vicente Solano Sur,"[
[-78.48734200000763, -0.21861023313391922],
[-78.49066793918608, -0.21777875436859453]
]",12
Toribio Hidalgo,"[
[-78.48791062831879, -0.2149302687033634],
[-78.4886509180069, -0.21814889653431255]
]",12
Luis Godín,"[
[-78.48902106285095, -0.21497854812585412],
[-78.48966479301453, -0.21782703378202703]
]",12
"Lérida, Toledo, Madrid, Tamayo, Colón","[
[-78.48529279232025, -0.21128785405709685],
[-78.48673582077026, -0.20985556411611564],
[-78.48474025726318, -0.20754351528337317],
[-78.48513185977936, -0.20702317013972366],
[-78.4862208366394, -0.20802094534856594],
[-78.48743855953217, -0.20711972903366022],
[-78.48806619644165, -0.20666375647383564],
[-78.4882915019989, -0.20662620579185384],
[-78.48883867263794, -0.205902014050588],
[-78.48575949668884, -0.2040298441377006],
[-78.48500311374664, -0.20275312069095183],
[-78.48641395568848, -0.20220595346863304],
[-78.48728835582733, -0.20307498375427013],
[-78.48993837833405, -0.20443753731787015],
[-78.48886013031006, -0.2058859209004112]
]",13
12 de Octubre,"[
[-78.49010467529297, -0.2079136576947318],
[-78.48544836044312, -0.20483450172019105],
[-78.48316311836243, -0.2036114221788809]
]",14
Isabela Católica,"[
[-78.48886013031006, -0.20848228225180107],
[-78.48560929298401, -0.20631507156630582],
[-78.48273396492004, -0.20472721404485636]
]",14
Barcelona,"[
[-78.4835010766983, -0.21175991962673402],
[-78.48367273807526, -0.21106255003016577],
[-78.48509967327118, -0.20974291209271403]
]",15
Guipúzcoa,"[
[-78.48249793052673, -0.2102739859102335],
[-78.48300218582153, -0.20986629288021155],
[-78.4835010766983, -0.20936204095995525],
[-78.48415553569794, -0.20873440822806735],
[-78.48449885845184, -0.20834280830573004]
]",15
Francisco Galavis,"[
[-78.48418235778809, -0.20801558096589456],
[-78.4854644536972, -0.20640626608131135]
]",15
EPN,"[
[-78.48803400993347, -0.20943714231081495],
[-78.48705768585205, -0.208659306873849],
[-78.48641395568848, -0.20917965196354357],
[-78.48811447620392, -0.21126103214929973],
[-78.48875284194945, -0.21233927280618645],
[-78.48895132541656, -0.2124519248107846],
[-78.48905324935913, -0.21261285624450177],
[-78.49046409130096, -0.2125216617656019],
[-78.48969161510468, -0.21155070875104842],
[-78.49034070968628, -0.21079969532795748],
[-78.48958432674408, -0.21018279141759363],
[-78.48803400993347, -0.20943714231081495]
]",16
Veintimilla,"[
[-78.49399924278259, -0.202517087773784],
[-78.49017441272736, -0.20818724121058904],
[-78.48899960517883, -0.2085627479893269],
[-78.48811984062195, -0.20931912590215937]
]",17
Baquedano,"[
[-78.49319458007812, -0.20317690705630975],
[-78.4916764497757, -0.20541385515458402],
[-78.49254548549652, -0.2060200304847389],
[-78.49494874477386, -0.20825161380186918],
[-78.4955495595932, -0.2087236794631954]
]",17
Vicente Ramón Roca,"[
[-78.49314630031586, -0.20667448524009435],
[-78.49153161048889, -0.20906163555294152],
[-78.4932804107666, -0.21018279141759363],
[-78.4934788942337, -0.210349087256704],
[-78.493532538414, -0.21063339949364338],
[-78.4929370880127, -0.21129321843864865],
[-78.49184811115265, -0.21222125641954032],
[-78.49136531352997, -0.21241437414267003],
[-78.49058210849762, -0.21250020424107405],
[-78.48981499671936, -0.2115453443695857],
[-78.49050700664519, -0.21077823780103785],
[-78.49037289619446, -0.2096088025399883],
[-78.48941802978514, -0.20882560272911663]
]",17
Para Silvia Jácome,"[
[-78.49561393260956, -0.2086163918141448],
[-78.49501311779022, -0.20816041929748672],
[-78.49262595176697, -0.2059395647342873],
[-78.49200367927551, -0.2054782277571106]
]",18
Para Christian Chimborazo,"[
[-78.49200367927551, -0.2054782277571106],
[-78.4908878803253, -0.20480767980141462],
[-78.48735809326172, -0.20295696729846605],
[-78.48716497421265, -0.2028067645352856]
]",19
Para Wladimir Chimborazo,"[
[-78.48716497421265, -0.2028067645352856],
[-78.48646759986877, -0.20206111508317504],
[-78.48311483860016, -0.20341830434807032],
[-78.48305583000183, -0.20372943862991416]
]",20
Para Enma Quishpe,"[
[-78.48305583000183, -0.20372943862991416],
[-78.48534107208252, -0.20495251816222973],
[-78.4878408908844, -0.20656719757712566],
[-78.48710596561432, -0.20737185503168148]
]",21
Para Guillermo Jácome,"[
[-78.48710596561432, -0.20737185503168148],
[-78.48275005817412, -0.21092844048877554],
[-78.48276615142822, -0.21126103214929973],
[-78.48255157470703, -0.21143805673989832]
]",22
Para Jefferson Palate,"[
[-78.48255157470703, -0.21143805673989832],
[-78.48222970962524, -0.21131467596484313],
[-78.48221898078918, -0.21103572812197421],
[-78.48238527774811, -0.2108640679085001],
[-78.48190248012543, -0.20669594277259903]
]",23
Para Estela Jácome,"[
[-78.48190248012543, -0.20669594277259903],
[-78.48277688026428, -0.20372943862990145],
[-78.4827071428299, -0.20349877011119324],
]",24
Para Gladys Jácome,"[
[-78.4827071428299, -0.20349877011119324],
[-78.48120510578156, -0.20264583300174993],
[-78.48101198673248, -0.20264583300174993],
[-78.4808886051178, -0.20248490146663667],
[-78.4808564186096, -0.20240443569846303]
]",25
Para Jefferson Chimborazo,"[
[-78.4808564186096, -0.20240443569846303],
[-78.48021805286407, -0.2020289287751117],
[-78.48000347614288, -0.20064491746849247]
]",26
